product_id,product_name,product_picture,product_picture,product_category, product_price ,product_description1,product_description2,product_description3,product_description4,product_status,product_new,product_featured,product_sale_price,product_bulk_quantity,product_bulk_price,
513,Scallop Sliders ____ 260g,513-1,,meat, 30.00 ,,,,,true,,,0,3,27,
514,Taiwanese Sausage (S) ____(_),514-1,,meat, 6.50 ,,,,,true,true,,0,0,0,
515,Meatballs ___ 400g,515-1,,meat, 11.50 ,,,,,true,,,0,0,0,
516,Mince Meat ___ (S) 300g,516-1,,meat, 8.00 ,,,,,true,,,0,0,0,
517,Mince Meat ___ (L) 600g,517-1,,meat, 15.00 ,,,,,true,,,0,0,0,
518,Shabu Shabu Pork ___ 300g,518-1,,meat, 13.00 ,,,,,true,,,0,0,0,
519,Shabu Shabu Pork Belly ____ 300g,519-1,,meat, 13.00 ,,,,,false,,,0,0,0,
521,Japanese Chashu ____ 200g,521-1,521-2,meat, 20.00 ,,,,,true,true,,0,0,0,
522,Thai Moo Ping _____ (10pcs/pkt),522-1,,meat, 15.00 ,,,,,true,true,,0,0,0,
523,Cheddar Cheese Sausages ____ 400g,523-1,,meat, 22.00 ,,,,,true,true,,0,0,0,
524,Mild Italian Sausages _____ 400g,524-1,,meat, 20.00 ,,,,,true,true,,0,0,0,
525,Pork & Herbs Sausages ______ 400g,525-1,,meat, 20.00 ,,,,,true,true,,0,0,0,
526,Habanero Chilli Sausages ____ 400g,526-1,,meat, 20.00 ,,,,,true,true,,0,0,0,
527,Pork Stomach __ 400-600g,527-1,527-2,meat, 13.00 ,,,,,true,,,0,0,0,
528,Pork Stomach (Cleaned) __ 400-600g,528-1,528-2,meat, 20.00 ,,,,,true,,,0,0,0,
529,Pork Tendon ___ 500g,529-1,,meat, 25.00 ,,,,,true,,,0,0,0,
530,Lobak __,530-1,,meat, 16.00 ,16pcs/pkt,,,,true,,,0,0,0,
531,Cleaned Frog ______ 1kg,531-1,531-2,meat, 45.00 ,,,,,true,true,,0,0,0,
601,Caviar ___ 100g,601-1,,special, 32.00 ,,,,,true,,true,0,3,30,
602,Ebiko Orange __ 500g,602-1,,special, 45.00 ,,,,,false,,,0,0,0,
603,Tobiko Orange __ 500g,603-1,,special, 45.00 ,,,,,true,,,0,0,0,
604,Ebiko Orange __ 50g,604-1,,special, 10.00 ,,,,,false,,,0,0,0,
605,Tobiko Orange __ 50g,605-1,,special, 10.00 ,,,,,true,,,0,0,0,
606,Chuka Idako (Seasoned Baby Octopus) _____ 2kg,606-1,606-2,special, 88.00 ,,,,,true,,,0,0,0,
607,Chuka Idako (Seasoned Baby Octopus) _____ 500g,607-1,607-2,special, 25.00 ,,,,,true,,,0,0,0,
608,Chuka Wakame ______ 450g,608-1,,special, 12.50 ,,,,,true,,,0,0,0,
609,Ebi Tempura _____ (8pcs/pkt),609-1,,special, 10.00 ,,,,,true,,,0,0,0,
610,Ebi Tempura _____ (10pcs/pkt),610-1,610-2,special, 12.00 ,,,,,false,,,0,0,0,
611,Breaded Scallops 180g,611-1,,special, 8.00 ,12pcs/pkt,,,,true,,,0,0,0,
612,Japan Tamagoyaki ______ 500g,612-1,,special, 20.00 ,,,,,true,,,0,0,0,
613,Tamagoyaki ____ 500g,613-1,613-2,special, 20.00 ,,,,,false,,,0,0,0,
614,Sea Urchin Platter (L) __ 100g,614-1,614-2,special, 60.00 ,,,,,false,,,0,0,0,
615,Abalone Can ____ 215g (4pcs),615-1,,special, 15.00 ,,,,,true,,,0,3,13,
616,Abalone Can ____ 425g (5pcs),616-1,,special, 28.00 ,,,,,true,,,0,3,26,
617,Fish Maw __ 100g,617-1,617-2,special, 16.00 ,,,,,true,,,0,0,0,
618,Fo Tiao Qiang ___ 200g,618-1,,special, 28.00 ,,,,,true,,,0,3,25,
619,Fo Tiao Qiang ___ 200g,619-1,,special, 28.00 ,,,,,true,,,0,5,22,
620,Fo Tiao Qiang ___ 200g,620-1,,special, 28.00 ,,,,,true,,,0,10,20,
621,Imitation Shark Fin ___ 500g,621-1,,special, 10.00 ,,,,,true,,,0,0,0,
622,Shark Fin (Real) __ 500g,622-1,,special, 53.00 ,,,,,true,,,0,0,0,
623,Sea Cucumber (L) __ (_) 1kg,623-1,623-2,special, 83.00 ,,,,,true,true,,0,0,0,
624,Sea Cucumber (S) __ (_) 1kg,624-1,624-2,special, 78.00 ,,,,,false,,,0,0,0,
625,Sea Cucumber (S) __ (_) 500g,625-1,625-2,special, 40.00 ,,,,,true,,,0,0,0,
700,Abalone Slice ___ 300g,700-1,,hotpot, 8.50 ,,,,,true,,,0,0,0,
701,Japan King Crab Filament Stick ______ 250g,701-1,,hotpot, 10.00 ,,,,,true,,,0,0,0,
702,Shrimp Paste __ 150g,702-1,702-2,hotpot, 9.00 ,,,,,true,,,0,0,0,
703,Tobiko Shrimp Paste ____ 150g,703-1,703-2,hotpot, 9.00 ,,,,,true,,,0,0,0,
704,Nikudo Fish Paste __ 200g,704-1,704-2,hotpot, 8.00 ,,,,,true,,,0,0,0,
705,Cheese Tofu ____ 500g,705-1,,hotpot, 10.00 ,,,,,true,,,0,0,0,
706,Seafood Tofu ____ 500g,706-1,,hotpot, 10.00 ,,,,,true,,,0,0,0,
500,Australian Beef Slice ___ 500g,500-1,,hotpot, 30.00 ,,,,,true,,,0,0,0,
514,Taiwanese Sausage (S) ____(_),514-1,,hotpot, 6.50 ,,,,,true,true,,0,0,0,
515,Meatballs ___ 400g,515-1,,hotpot, 11.50 ,,,,,true,,,0,0,0,
516,Mince Meat ___ (S) 300g,516-1,,hotpot, 8.00 ,,,,,true,,,0,0,0,
517,Mince Meat ___ (L) 600g,517-1,,hotpot, 15.00 ,,,,,true,,,0,0,0,
518,Shabu Shabu Pork ___ 300g,518-1,,hotpot, 13.00 ,,,,,true,,,0,0,0,
519,Shabu Shabu Pork Belly ____ 300g,519-1,,hotpot, 13.00 ,,,,,false,,,0,0,0,
521,Japanese Chashu ____ 200g,521-1,521-2,hotpot, 20.00 ,,,,,true,true,,0,0,0,
509,Smoked Duck Breast _____ 200-300g,509-1,,hotpot, 13.00 ,,,,,true,true,true,0,3,12,
405,Flower Squid __ 1kg,405-1,,hotpot, 18.00 ,,,,,true,,,0,0,0,
623,Sea Cucumber (L) __ (_) 1kg,623-1,623-2,hotpot, 83.00 ,,,,,true,,,0,0,0,
624,Sea Cucumber (S) __ (_) 1kg,624-1,624-2,hotpot, 78.00 ,,,,,false,,,0,0,0,
625,Sea Cucumber (S) __ (_) 500g,625-1,625-2,hotpot, 40.00 ,,,,,true,,,0,0,0,
617,Fish Maw __ 100g,617-1,617-2,hotpot, 16.00 ,,,,,true,,,0,0,0,
202,Canadian Scallops XL 10/20 _____ 500g,202-1,,hotpot, 35.00 ,9-10pcs/box,,,,false,,,0,3,33,
203,Canadian Scallops L 20/30 _____  500g,203-1,,hotpot, 32.50 ,13-16pcs/box,,,,true,,,0,3,30,
204,Hokkaido Scallops XL 10/20 _____ 1kg,204-1,,hotpot, 70.00 ,18-20pcs/box,,,,true,,,0,0,0,
205,Hokkaido Scallops L 20/30 _____ 1kg,205-1,,hotpot, 65.00 ,20-30pcs/box,,,,true,,,0,0,0,
206,Hokkaido Scallops M 30/40 _____ 1kg,206-1,,hotpot, 60.00 ,30-40pcs/box,,,,true,,,0,0,0,
207,Hokkaido Scallops 40/50 _____ 1kg,207-1,,hotpot, 55.00 ,40-50pcs/box,,,,true,,,0,0,0,
208,Hokkaido Scallops 60/80 _____ 1kg,208-1,,hotpot, 45.00 ,60-80pcs/box,,,,false,,,0,0,0,
209,Hokkaido Scallops 80/100 _____ 1kg,209-1,,hotpot, 40.00 ,80-100pcs/box,,,,true,,,0,0,0,
210,Half Shell Scallop _____ 1kg,210-1,210-2,hotpot, 26.00 ,8-10pcs/pkt,,,,true,,,0,0,0,
211,Half Shell Scallop (Pink) M ____ 500g,211-1,,hotpot, 20.00 ,,,,,false,,,0,0,0,
212,Half Shell Scallop (Pink) S ____ 500g,212-1,,hotpot, 17.50 ,,,,,true,,,0,0,0,
213,Japanese Hotate Scallop L 60/80 ____ 1kg,213-1,,hotpot, 40.00 ,60-80pcs/box,,,,true,,,0,0,0,
214,Japanese Hotate Scallop S 100/150 ____ 1kg,214-1,,hotpot, 35.00 ,100-150pcs/box,,,,true,,,0,0,0,
800,Frozen Blueberries ____ 500g,800-1,,fruits, 14.00 ,,,,,true,,,0,3,12,
801,Frozen Mixed Berries ____ 500g,801-1,,fruits, 14.00 ,,,,,true,,,0,3,12,
802,Frozen Mixed Fruits ____ 500g,802-1,,fruits, 14.00 ,,,,,true,,,0,3,12,
803,Frozen Rasberries ____ 500g,803-1,,fruits, 14.00 ,,,,,true,,,0,0,0,
804,Frozen Strawberries ____ 500g,804-1,,fruits, 14.00 ,,,,,true,,,0,3,12,
900,Edamame ____ 500g,900-1,,vegetables, 8.00 ,,,,,true,,,0,3,6,
901,Edamame (peeled) ____ 500g,901-1,,vegetables, 9.00 ,,,,,true,,,0,0,0,
902,Sweet Corn ___ 500g,902-1,,vegetables, 8.00 ,,,,,true,,,0,0,0,
903,French Fries (Crinkle Cut) __ 1kg,903-1,,vegetables, 10.00 ,,,,,true,,,0,0,0,
904,French Fries (Shoestring) __ 1kg,904-1,,vegetables, 10.00 ,,,,,true,,,0,0,0,
905,Chuka Wakame ______ 450g,905-1,905-2,vegetables, 12.50 ,,,,,true,,,0,0,0,
